CMDLINE C:\Users\jonah\PycharmProjects\WarrenNolanScraper_cloud\.venv\Scripts\python.exe main.py
MEM 48.046875 1737411895.9967
MEM 48.046875 1737411896.0971
MEM 48.046875 1737411896.1976
MEM 48.046875 1737411896.2980
MEM 48.046875 1737411896.3983
MEM 48.046875 1737411896.4988
MEM 48.046875 1737411896.5996
MEM 48.046875 1737411896.7002
MEM 48.046875 1737411896.8006
MEM 48.046875 1737411896.9015
MEM 48.046875 1737411897.0020
MEM 48.046875 1737411897.1025
MEM 48.046875 1737411897.2029
MEM 48.046875 1737411897.3034
MEM 48.046875 1737411897.4037
MEM 48.046875 1737411897.5043
MEM 48.046875 1737411897.6046
MEM 48.046875 1737411897.7053
MEM 48.046875 1737411897.8059
MEM 48.046875 1737411897.9067
MEM 48.046875 1737411898.0071
MEM 48.046875 1737411898.1077
MEM 48.046875 1737411898.2081
MEM 48.046875 1737411898.3087
MEM 48.046875 1737411898.4097
MEM 48.046875 1737411898.5102
MEM 48.046875 1737411898.6108
MEM 48.046875 1737411898.7111
MEM 48.046875 1737411898.8115
MEM 48.046875 1737411898.9123
MEM 48.046875 1737411899.0129
MEM 48.046875 1737411899.1148
MEM 48.046875 1737411899.2158
MEM 48.046875 1737411899.3162
MEM 48.046875 1737411899.4166
MEM 48.046875 1737411899.5169
MEM 48.046875 1737411899.6178
MEM 48.046875 1737411899.7186
MEM 48.046875 1737411899.8195
MEM 48.046875 1737411899.9215
MEM 48.046875 1737411900.0224
MEM 48.046875 1737411900.1230
MEM 48.046875 1737411900.2233
MEM 48.046875 1737411900.3241
MEM 48.046875 1737411900.4245
MEM 48.046875 1737411900.5250
MEM 48.046875 1737411900.6254
MEM 48.046875 1737411900.7259
MEM 48.046875 1737411900.8265
MEM 48.046875 1737411900.9276
MEM 48.046875 1737411901.0283
MEM 48.046875 1737411901.1288
MEM 48.046875 1737411901.2292
MEM 48.046875 1737411901.3299
MEM 48.046875 1737411901.4306
MEM 48.046875 1737411901.5308
MEM 48.046875 1737411901.6313
MEM 48.046875 1737411901.7320
MEM 48.046875 1737411901.8325
MEM 48.046875 1737411901.9332
MEM 48.046875 1737411902.0338
MEM 48.046875 1737411902.1346
MEM 48.046875 1737411902.2350
MEM 48.046875 1737411902.3356
MEM 48.046875 1737411902.4363
MEM 48.046875 1737411902.5371
MEM 48.046875 1737411902.6379
MEM 48.046875 1737411902.7386
MEM 48.046875 1737411902.8393
MEM 48.046875 1737411902.9399
MEM 48.046875 1737411903.0405
MEM 48.046875 1737411903.1410
MEM 48.046875 1737411903.2416
MEM 48.046875 1737411903.3423
MEM 48.046875 1737411903.4430
MEM 48.046875 1737411903.5435
MEM 48.046875 1737411903.6443
MEM 48.046875 1737411903.7448
MEM 48.046875 1737411903.8452
MEM 48.046875 1737411903.9456
MEM 48.046875 1737411904.0462
MEM 48.046875 1737411904.1467
MEM 48.046875 1737411904.2472
MEM 48.046875 1737411904.3479
MEM 48.046875 1737411904.4484
MEM 48.046875 1737411904.5487
MEM 48.046875 1737411904.6491
MEM 48.046875 1737411904.7499
MEM 48.046875 1737411904.8507
MEM 48.046875 1737411904.9511
MEM 48.046875 1737411905.0518
MEM 48.046875 1737411905.1522
MEM 48.046875 1737411905.2529
MEM 48.046875 1737411905.3537
MEM 48.046875 1737411905.4545
MEM 48.046875 1737411905.5553
MEM 48.046875 1737411905.6556
MEM 48.046875 1737411905.7561
MEM 48.046875 1737411905.8568
MEM 48.046875 1737411905.9571
MEM 48.046875 1737411906.0577
MEM 48.046875 1737411906.1582
MEM 48.046875 1737411906.2586
MEM 48.046875 1737411906.3591
MEM 48.046875 1737411906.4595
MEM 48.046875 1737411906.5606
MEM 48.046875 1737411906.6610
MEM 48.046875 1737411906.7614
MEM 48.046875 1737411906.8619
MEM 48.046875 1737411906.9626
MEM 48.046875 1737411907.0631
MEM 48.046875 1737411907.1637
MEM 48.046875 1737411907.2644
MEM 48.046875 1737411907.3647
MEM 48.046875 1737411907.4656
MEM 48.046875 1737411907.5664
